# vortex_number, sol, t0, t0_unc, DeltaP, DeltaP_unc, Gamma, Gamma_unc, slope, slope_unc, intercept, intercept_unc, U, U_unc, Diameter, Diameter_unc
2, 112, 13.8246, 9.58291e-05, 0.436188, 0.0208707, 14.4187, 1.014, -5.41942, 0.0421442, 708.828, 0.00224945, 4.553, 0.490741, 65.6483, 8.44879
0, 114, 12.4054, 1.79244e-05, 1.89768, 0.040214, 6.08754, 0.194868, -0.386749, 0.422267, 718.208, 0.00578305, 2.592, 0.741, 15.7789, 0
1, 114, 14.7997, 2.74639e-05, 1.33236, 0.0368911, 7.14028, 0.293321, -3.00357, 0.207239, 705.697, 0.00438589, 3.238, 0.741, 23.1202, 0
0, 115, 13.5954, 7.58374e-06, 2.29079, 0.0333443, 3.7671, 0.0816855, -6.34406, 0.383964, 711.872, 0.00408512, 3.043, 0.582, 11.4633, 0
1, 115, 15.1787, 2.51372e-05, 1.23884, 0.0241483, 9.28354, 0.267768, -1.79292, 0.0959339, 703.374, 0.00277737, 5.644, 0.421059, 52.3963, 4.1909
0, 116, 10.5061, 3.82866e-05, 0.853524, 0.0231919, 10.1443, 0.404145, -6.65082, 0.0604769, 722.059, 0.00235817, 2.547, 1.36696, 25.8375, 13.905
2, 116, 14.4052, 1.09599e-05, 2.43888, 0.0428364, 4.49248, 0.11711, 0.174696, 0.386284, 706.784, 0.0051117, 4.316, 0.846, 19.3895, 0
0, 117, 13.4872, 9.68193e-05, 1.08808, 0.0300242, 25.2511, 1.05517, -3.835, 0.0802639, 712.679, 0.00443448, 2.044, 0.636036, 51.6132, 16.2048
0, 118, 11.9191, 1.89432e-05, 0.786068, 0.0424431, 2.5654, 0.203649, -2.32379, 0.397941, 720.629, 0.00410073, 4.529, 0.345, 11.6187, 0
1, 118, 13.9291, 0.000228888, 1.09596, 0.0291585, 61.6433, 2.75726, -7.95101, 0.122321, 712.977, 0.00840204, 4.306, 0.0355825, 265.436, 12.0737
0, 119, 13.7543, 0.00017115, 0.440767, 0.0157314, 34.4754, 1.93349, -6.99234, 0.057612, 714.785, 0.0032882, 3.3, 1.29431, 113.769, 45.0758
1, 125, 15.8085, 0.000139114, 0.733014, 0.0164679, 44.4866, 1.59867, -1.96293, 0.0585403, 707.282, 0.00358877, 3.7315, 0.0681997, 166.002, 6.69264
0, 126, 15.135, 0.000102194, 0.91814, 0.0400645, 16.8594, 1.08852, -1.30608, 0.0874875, 710.684, 0.00460546, 2.691, 1.06599, 45.3686, 18.2091
0, 128, 10.4968, 1.90606e-05, 1.37115, 0.0472227, 4.00276, 0.201257, -4.67578, 0.242068, 728.676, 0.00433205, 1.467, 0.352, 5.87205, 0
0, 129, 14.0671, 0.000152716, 2.31437, 0.0323372, 78.0792, 1.92474, -2.65769, 0.153318, 716.155, 0.0112516, 3.5305, 0.408457, 275.659, 32.6079
0, 130, 11.8962, 6.33381e-06, 1.04935, 0.068579, 1.39244, 0.117661, -0.930862, 0.661186, 725.764, 0.0035143, 6.638, 0.345, 9.24302, 0
1, 130, 13.6014, 1.76288e-05, 0.72156, 0.0195165, 4.68926, 0.18862, -4.21216, 0.179895, 719.893, 0.00239331, 3.016, 0.345, 14.1428, 0
2, 130, 13.9699, 6.59291e-05, 0.649343, 0.0206137, 14.9493, 0.708139, -5.22466, 0.0652647, 717.957, 0.00264097, 3.894, 0.0207564, 58.2126, 2.7749
3, 130, 11.3202, 3.58623e-05, 1.36637, 0.0431085, 8.18331, 0.379942, 0.307853, 0.160779, 726.674, 0.00460372, 3.588, 0.345, 29.3617, 0
4, 130, 14.8234, 2.35841e-05, 1.43597, 0.0624538, 3.88253, 0.255732, -5.32054, 1.12996, 713.489, 0.00936143, 3.44, 0.345, 13.3559, 0
0, 132, 15.5186, 0.000168253, 1.3825, 0.0172215, 96.2005, 2.22458, -4.15703, 0.0907986, 709.223, 0.00734686, 1.741, 0.434402, 167.485, 41.9688
1, 132, 13.9013, 3.09491e-05, 1.64539, 0.0221626, 16.5408, 0.330149, -4.26158, 0.0517706, 716.611, 0.0025989, 3.91, 0.315794, 64.6745, 5.38063
0, 133, 11.9601, 3.46578e-05, 1.94975, 0.0948456, 5.12889, 0.369396, -8.56086, 0.695231, 724.284, 0.0109932, 1.066, 0.335, 5.4674, 0
1, 133, 13.6225, 2.45388e-05, 1.57012, 0.0477909, 5.80303, 0.26313, -6.85677, 0.372654, 717.978, 0.00596401, 5.09, 0.335, 29.5374, 0
0, 134, 15.5105, 6.51281e-05, 1.46437, 0.0508531, 13.5014, 0.691879, -3.66174, 0.126804, 710.043, 0.00564667, 1.959, 0.425507, 26.4492, 5.90266
1, 135, 14.6142, 2.59491e-05, 1.40183, 0.0258023, 10.1493, 0.275477, -3.45112, 0.0834253, 715.284, 0.00283711, 4.042, 0.257973, 41.0235, 2.84518
0, 137, 11.4149, 0.000221113, 0.533369, 0.0201156, 42.1324, 2.52439, -2.43208, 0.0695609, 726.67, 0.00423091, 1.992, 0.584887, 83.9277, 25.1505
0, 138, 14.6796, 8.705e-05, 0.824141, 0.00963213, 53.4422, 1.02547, -3.40386, 0.0375853, 714.838, 0.00243157, 2.75, 0.97407, 146.966, 52.1328
1, 138, 13.4471, 2.70445e-05, 1.28452, 0.0279739, 8.94034, 0.286539, -4.97131, 0.0957077, 721.856, 0.00299297, 2.928, 0.673101, 26.1773, 6.07596
2, 138, 14.0117, 4.28937e-05, 1.57094, 0.0252351, 19.2214, 0.459835, -4.71013, 0.0588446, 718.409, 0.00314292, 1.873, 0.207564, 36.0017, 4.08158
3, 138, 11.9551, 3.35694e-05, 3.08096, 0.0312961, 23.7847, 0.364383, -3.09014, 0.0811925, 726.958, 0.0044358, 4.443, 2.35585, 105.675, 56.0567
0, 140, 14.7531, 3.00926e-05, 0.796451, 0.033455, 5.15773, 0.317111, -5.22154, 0.159711, 716.6, 0.00329469, 1.75, 0.328, 9.02603, 0
1, 141, 11.515, 2.25833e-05, 1.09001, 0.0473579, 3.71825, 0.239715, -1.32338, 0.544777, 729.513, 0.00578513, 6.788, 0.324, 25.2395, 0
2, 141, 10.7594, 1.48343e-05, 2.13229, 0.0416041, 5.47299, 0.15747, -8.35085, 0.249988, 732.827, 0.00457536, 7.287, 0.324, 39.8817, 0
0, 142, 15.7176, 8.19959e-05, 0.415904, 0.00505413, 48.4501, 0.952632, -3.40361, 0.0187595, 714.764, 0.00120356, 3.9295, 0.802829, 190.385, 39.0769
1, 142, 16.2128, 4.65073e-05, 0.811648, 0.0231035, 11.763, 0.488593, -2.27495, 0.0421365, 713.219, 0.00216004, 3.33, 0.0014826, 39.1708, 1.62711
0, 143, 11.4226, 4.1659e-05, 0.681669, 0.0660443, 3.18118, 0.446771, 0.739576, 0.204525, 731.056, 0.00459853, 4.356, 0.3275, 13.8572, 0
0, 146, 11.2833, 4.00326e-05, 1.08736, 0.025974, 12.0656, 0.422439, -3.20326, 0.0561926, 735.147, 0.00261541, 5.1285, 0.246853, 61.8784, 3.68303
0, 147, 13.8962, 6.30606e-05, 1.00042, 0.0646615, 7.02404, 0.666594, -2.18694, 0.257765, 725.796, 0.00668162, 3.3975, 2.22168, 23.8642, 15.7686
1, 148, 11.0748, 1.87667e-05, 3.52301, 0.0799025, 5.95521, 0.203728, -8.95974, 0.829847, 734.615, 0.0113355, 2.727, 0.313, 16.2399, 0
2, 148, 11.1124, 2.6689e-05, 3.22768, 0.0827144, 7.49693, 0.285739, -2.80411, 0.476134, 734.399, 0.010124, 3.424, 0.313, 25.6695, 0
1, 149, 14.7906, 9.5849e-06, 0.46108, 0.0169363, 1.86958, 0.102604, -0.34467, 0.357217, 721.555, 0.00190951, 5.869, 0.3275, 10.9726, 0
0, 150, 11.8261, 8.10708e-05, 0.754455, 0.0541978, 8.12529, 0.843434, -2.86579, 0.0821498, 733.83, 0.00413209, 3.258, 1.1164, 26.4722, 9.47815
1, 150, 12.7566, 0.000103493, 0.891103, 0.0374862, 17.7103, 1.10491, -2.75752, 0.0838994, 731.579, 0.00444399, 3.677, 0.333585, 65.1208, 7.17002
0, 152, 11.6866, 0.000116398, 0.764413, 0.0423656, 15.1167, 1.2559, 0.419402, 0.149599, 735.949, 0.00565244, 7.023, 0.354342, 106.165, 10.3193
1, 152, 10.516, 4.08309e-05, 1.16058, 0.0705245, 4.83971, 0.434363, -1.11819, 0.502026, 740.564, 0.00789524, 4.814, 0.36472, 23.2984, 2.73644
0, 153, 10.5624, 3.85539e-05, 0.996333, 0.0481034, 5.74923, 0.402662, -6.75472, 0.131968, 741.265, 0.00401577, 1.468, 0.323, 8.43987, 0
0, 154, 12.9368, 2.03897e-05, 1.18283, 0.0339665, 5.11263, 0.215909, -6.27255, 0.197233, 734.347, 0.00359093, 1.632, 0.321, 8.34381, 0
0, 156, 11.2657, 7.03801e-05, 0.901081, 0.0366956, 12.4424, 0.740749, -2.22665, 0.0688323, 737.973, 0.00354064, 4.505, 0.739819, 56.053, 9.79134
1, 156, 11.725, 9.8216e-05, 0.859713, 0.025195, 24.1197, 1.06712, -1.17209, 0.0658294, 736.777, 0.00360508, 6.391, 1.00224, 154.149, 25.1173
3, 156, 15.6072, 3.3702e-05, 2.24908, 0.0588254, 9.27493, 0.362683, -4.47192, 0.315697, 722.861, 0.00763306, 6.0775, 0.841377, 56.3684, 8.10903
0, 157, 14.3362, 9.32737e-06, 0.824557, 0.0263243, 2.42886, 0.116808, -4.81621, 0.345187, 728.218, 0.00273077, 6.394, 0.304, 15.5301, 0
0, 158, 12.8749, 2.74401e-05, 2.50517, 0.117974, 4.20674, 0.291118, -6.76374, 0.782009, 734.85, 0.0121628, 8.352, 0.307, 35.1347, 0
2, 160, 12.2208, 6.67721e-05, 1.23594, 0.0291744, 20.3614, 0.718034, 0.740355, 0.0700191, 736.727, 0.00375457, 8.602, 1.31284, 175.149, 27.4356
0, 161, 11.7636, 5.72339e-05, 0.866318, 0.0313647, 11.3805, 0.608643, -1.48345, 0.0960831, 739.995, 0.00352926, 6.596, 0.366203, 75.0658, 5.78669
1, 161, 10.7226, 1.75782e-05, 1.63652, 0.0628251, 3.26451, 0.182043, -3.00377, 0.369077, 743.323, 0.00564205, 8.146, 0.319, 26.5927, 0
0, 162, 14.9801, 3.38935e-05, 0.726332, 0.0265064, 6.68652, 0.357628, -1.86188, 0.103094, 729.359, 0.00266302, 4.891, 0.197186, 32.7038, 2.19043
1, 162, 13.8096, 3.81914e-05, 2.38387, 0.0890157, 7.36254, 0.408515, -4.79192, 0.507794, 735.446, 0.0107796, 5.2395, 2.39514, 38.576, 17.7638
0, 163, 10.5353, 2.63827e-05, 1.69285, 0.0316255, 10.1669, 0.279243, -5.99242, 0.0915647, 747.269, 0.00333434, 4.8375, 0.218684, 49.1824, 2.60154
1, 163, 11.5172, 2.97572e-05, 1.80318, 0.0382211, 10.1066, 0.315834, -0.986629, 0.123307, 743.09, 0.00418781, 3.086, 1.2869, 31.189, 13.0426
2, 163, 11.2654, 2.19498e-05, 2.10322, 0.0504669, 6.58493, 0.235048, 0.52683, 0.332643, 743.718, 0.00619136, 4.834, 0.315, 31.8316, 0
0, 165, 10.2488, 3.58754e-05, 1.23849, 0.0665765, 4.80308, 0.381103, -7.10441, 0.472312, 749.551, 0.00742641, 9.179, 0.319, 44.0875, 0
0, 166, 12.6297, 1.06399e-05, 1.2591, 0.0305085, 3.06083, 0.108481, 1.85552, 0.322472, 742.343, 0.00336162, 6.521, 0.317, 19.9597, 0
1, 166, 9.90262, 3.86444e-05, 1.72006, 0.0908895, 5.26506, 0.416465, -12.1465, 0.887356, 753.972, 0.0119484, 7.688, 0.317, 40.4778, 0
2, 166, 12.8307, 4.70092e-06, 4.57172, 0.0915967, 2.0971, 0.0640196, -8.69913, 1.91843, 741.971, 0.0104323, 5.365, 0.317, 11.2509, 0
2, 167, 16.089, 7.95355e-05, 0.707977, 0.0180984, 22.3843, 0.877815, -2.11944, 0.0701556, 725.91, 0.00297471, 8.861, 1.2528, 198.347, 29.1018
0, 168, 15.8427, 2.82198e-05, 0.640355, 0.00993221, 13.0975, 0.301077, -2.51136, 0.0294321, 725.867, 0.00116743, 8.3205, 0.561165, 108.978, 7.76505
1, 168, 12.5654, 0.000140131, 0.853659, 0.0183543, 46.8098, 1.62078, -3.39271, 0.0669538, 740.214, 0.00417028, 6.494, 1.97779, 303.983, 93.1764
4, 168, 9.99624, 1.90757e-05, 1.99049, 0.055844, 4.89716, 0.203023, -7.51172, 0.399876, 751.792, 0.00629573, 8.968, 0.317, 43.9177, 0
5, 168, 11.5683, 1.77285e-05, 3.73825, 0.0946471, 5.03883, 0.190461, 6.05291, 0.904166, 742.652, 0.0121067, 5.371, 0.317, 27.0636, 0
1, 169, 10.6862, 2.10334e-05, 1.38507, 0.0409072, 5.12867, 0.221687, -8.85276, 0.194707, 745.324, 0.00401466, 7.752, 0.318, 39.7574, 0
1, 170, 14.158, 1.51203e-05, 4.58786, 0.125627, 3.98317, 0.162856, -9.77237, 1.48936, 737.049, 0.0159351, 4.15, 0.311, 16.5302, 0
1, 171, 9.90799, 2.14317e-05, 1.09334, 0.12002, 1.36619, 0.206093, 2.07573, 1.63727, 755.657, 0.00856906, 10.594, 0.431, 14.4734, 0
3, 171, 12.7551, 1.13276e-05, 3.20594, 0.0694873, 3.78035, 0.122105, -6.05463, 0.80144, 742.48, 0.0085321, 10.675, 0.431, 40.3552, 0
0, 173, 16.187, 1.25196e-05, 0.997026, 0.04427, 1.65183, 0.108845, -1.32044, 0.921679, 727.146, 0.00485928, 7.732, 0.355, 12.7719, 0
1, 173, 10.3588, 1.91963e-05, 2.55655, 0.222838, 1.15648, 0.134674, -11.6054, 2.73932, 750.098, 0.0141438, 8.575, 0.355, 9.91682, 0
2, 173, 13.2164, 3.4821e-05, 1.88607, 0.0495026, 9.55013, 0.373178, -1.07478, 0.23015, 741.044, 0.00613097, 6.5345, 0.541891, 62.4053, 5.72088
0, 176, 12.2083, 5.58272e-05, 1.20929, 0.0726045, 6.69447, 0.587153, 5.01845, 0.244912, 743.332, 0.00691852, 8.724, 0.3505, 58.4026, 0
1, 176, 13.2252, 1.84852e-05, 1.7568, 0.104863, 2.18044, 0.196082, 3.81569, 2.55538, 741.707, 0.013835, 7.055, 0.3505, 15.383, 0
2, 176, 11.7791, 2.81907e-05, 1.66794, 0.0448115, 7.55371, 0.300214, 1.10899, 0.216981, 744.54, 0.0051358, 8.9, 0.3505, 67.228, 0
3, 176, 12.3562, 5.71664e-05, 2.00372, 0.0472298, 17.4586, 0.611425, -2.00575, 0.113349, 743.346, 0.00571342, 13.129, 1.83546, 229.214, 33.0348
2, 177, 13.8141, 2.90053e-05, 1.83417, 0.141662, 2.79235, 0.318825, 6.74519, 1.38014, 739.543, 0.0143224, 7.688, 0.318, 21.4676, 0
3, 177, 12.631, 3.63127e-05, 1.39694, 0.101169, 3.63792, 0.398911, 11.303, 1.75966, 742.348, 0.0144676, 10.701, 0.318, 38.9294, 0
0, 178, 16.3165, 4.18823e-05, 1.02997, 0.0201393, 15.4196, 0.446443, -1.08169, 0.0492596, 729.881, 0.00233676, 6.518, 0.363979, 100.505, 6.32192
1, 178, 9.77753, 2.75373e-05, 1.45803, 0.0328945, 8.78663, 0.293883, -13.4384, 0.146675, 758.617, 0.00389128, 8.719, 0.317, 76.6106, 0
2, 178, 14.0991, 5.7193e-06, 3.39084, 0.0517617, 1.58105, 0.0369311, -0.0228986, 1.31164, 739.202, 0.00685264, 6.466, 0.317, 10.2231, 0
1, 179, 11.0403, 2.50764e-05, 2.79248, 0.0628255, 8.0231, 0.269437, -6.47832, 0.374136, 748.903, 0.00801278, 6.5475, 0.402527, 52.5312, 3.67994
0, 180, 11.1828, 8.26091e-05, 0.646635, 0.0361244, 10.6409, 0.903656, -2.70794, 0.247834, 746.718, 0.00550294, 8.3355, 1.29654, 88.6972, 15.7186
1, 180, 12.2642, 3.25108e-05, 2.27745, 0.0478896, 11.1304, 0.345395, -0.234657, 0.145084, 744.443, 0.00531741, 6.879, 0.756127, 76.566, 8.74496
0, 181, 13.0647, 1.55013e-05, 1.22216, 0.0313243, 4.34543, 0.164919, 2.56039, 0.27809, 743.823, 0.00366846, 5.322, 0.349, 23.1264, 0
0, 182, 12.5254, 0.000238836, 0.698103, 0.0141893, 83.8513, 3.05637, -3.39083, 0.0697463, 745.516, 0.00532392, 11.865, 2.24985, 994.896, 192.107
1, 182, 10.8799, 1.63412e-05, 1.7721, 0.144091, 1.22066, 0.132051, -16.0648, 1.75608, 749.109, 0.00908773, 8.947, 0.431, 10.9212, 0
2, 182, 13.2408, 1.43107e-05, 1.78304, 0.135081, 1.16036, 0.113259, -3.08351, 1.46755, 744.625, 0.00759904, 6.584, 0.431, 7.63981, 0
0, 185, 12.4851, 0.000234338, 0.833861, 0.0654345, 21.4947, 2.52776, -0.949135, 0.161362, 744.224, 0.00870758, 6.9405, 1.47964, 149.184, 36.3223
0, 187, 13.8704, 3.98979e-06, 1.65168, 0.282519, 0.950007, 0.150678, -0.90239, 0.742757, 743.544, 0.00391785, 6.55, 0.3, 6.22255, 0
1, 187, 12.3671, 4.70187e-05, 1.08424, 0.0387131, 9.4798, 0.501334, -1.06953, 0.155413, 746.708, 0.00450715, 7.3055, 0.811725, 69.2547, 8.52213
2, 187, 12.8996, 1.56769e-05, 3.07541, 0.0587681, 5.90609, 0.166998, 4.09132, 0.366825, 746.143, 0.00675698, 10.415, 0.730923, 61.5119, 4.65411
0, 188, 12.0737, 6.43936e-05, 0.92623, 0.0554403, 7.74327, 0.695794, 3.24973, 0.39631, 747.264, 0.00751089, 5.092, 0.751679, 39.4287, 6.81399
1, 188, 9.9999, 8.80643e-06, 2.54217, 0.0853664, 2.17966, 0.109227, -9.12653, 1.03876, 754.061, 0.00813715, 5.019, 0.0207564, 10.9397, 0.550074
1, 190, 13.1604, 1.59739e-05, 1.26486, 0.0614291, 2.62166, 0.189569, -4.95721, 0.558586, 748.318, 0.00578064, 7.0775, 0.919955, 18.5548, 2.75988
0, 191, 10.6651, 0.000182271, 0.701596, 0.0229893, 39.9847, 2.06876, -2.66773, 0.0774353, 753.574, 0.00464477, 7.83, 2.4626, 313.08, 99.7899
1, 191, 11.3438, 1.89103e-05, 4.52364, 0.192403, 3.27494, 0.210274, 5.57336, 3.14968, 752.494, 0.0255701, 2.208, 1.83694, 7.23107, 6.03377
0, 192, 10.1831, 5.05396e-05, 1.05415, 0.0582118, 6.58602, 0.552447, -7.53113, 0.635849, 755.33, 0.00881106, 10.702, 1.17719, 70.4836, 9.75006
1, 192, 9.93827, 2.13676e-05, 2.29124, 0.841158, 0.726537, 0.220184, 0.155043, 1.59229, 756.361, 0.00820262, 9.051, 0.279, 6.57589, 0
0, 193, 9.6987, 2.16545e-05, 1.45785, 0.0810919, 2.87005, 0.23278, -2.51709, 0.438249, 756.478, 0.00665923, 7.693, 0.0370651, 22.0793, 1.79393
1, 193, 12.3689, 4.35503e-05, 1.26346, 0.111592, 3.50147, 0.456651, 13.6316, 1.25026, 750.627, 0.0132089, 13.8795, 0.909576, 48.5987, 7.09328
3, 193, 13.9533, 3.29203e-05, 1.55546, 0.0444299, 8.29738, 0.347785, -1.78059, 0.146438, 745.979, 0.00454906, 6.586, 0.424024, 54.6465, 4.19819
4, 193, 11.5171, 6.36953e-05, 1.99824, 0.0333419, 27.4686, 0.698402, -2.23613, 0.0929754, 753.344, 0.00518209, 9.319, 2.81176, 255.98, 77.5087
0, 194, 12.587, 5.3309e-05, 1.46909, 0.0326122, 17.287, 0.569889, -2.07758, 0.0778815, 749.702, 0.00392266, 11.1625, 2.39589, 192.966, 41.9033
0, 195, 13.7887, 8.80021e-05, 0.593859, 0.0456043, 8.25071, 0.918104, -1.08388, 0.0815826, 749.967, 0.00370913, 5.8995, 0.381029, 48.6751, 6.2626
1, 195, 10.4824, 2.82909e-05, 1.68354, 0.111906, 3.15142, 0.315822, 7.58671, 1.79175, 760.329, 0.0144873, 8.1135, 0.541891, 25.569, 3.07934
0, 196, 13.2714, 0.000127231, 0.538978, 0.0225458, 21.8924, 1.37391, -1.94226, 0.0561109, 751.343, 0.00304347, 6.556, 0.624176, 143.527, 16.3663
1, 196, 11.3861, 1.41884e-05, 3.15318, 0.168014, 1.13133, 0.0847897, 11.9883, 2.37683, 758.724, 0.0122758, 6.641, 0.276, 7.51316, 0
0, 197, 12.2184, 0.000171452, 0.663966, 0.0271217, 30.197, 1.89415, -5.11786, 0.0793186, 754.03, 0.00457222, 5.272, 0.401785, 159.199, 15.7138
1, 197, 11.571, 3.06399e-05, 1.22304, 0.0581619, 4.64128, 0.332474, 0.104007, 0.744994, 756.652, 0.00811527, 8.112, 2.50856, 37.6501, 11.9512
2, 197, 13.5834, 1.08889e-05, 3.07836, 0.105314, 2.46897, 0.126467, -4.30476, 1.44236, 748.81, 0.0114042, 7.555, 1.49002, 18.6531, 3.80085
1, 198, 12.8844, 9.05042e-05, 0.894095, 0.0573642, 10.1516, 0.98669, -3.84676, 0.384357, 751.445, 0.00847729, 8.593, 1.01262, 87.2327, 13.3251
2, 198, 11.2467, 1.78969e-05, 2.21046, 0.0677419, 4.19206, 0.189859, 3.27277, 0.590975, 757.692, 0.00776933, 7.0845, 0.00889561, 29.6986, 1.34557
0, 199, 15.1382, 5.05701e-05, 0.644536, 0.0235651, 9.95758, 0.536403, -5.18688, 0.0754613, 743.434, 0.00257304, 6.6195, 0.548563, 65.9142, 6.51498
1, 199, 13.0393, 1.85345e-05, 1.25456, 0.0283533, 5.90451, 0.194746, -4.83507, 0.103624, 751.992, 0.00265501, 7.3025, 0.832481, 43.1177, 5.11699
0, 200, 12.742, 5.29292e-05, 1.17661, 0.0544783, 8.23017, 0.557409, -3.5643, 0.158593, 751.928, 0.00530694, 6.153, 0.527806, 50.6402, 5.5347
1, 200, 13.2851, 1.01744e-05, 2.23764, 0.780722, 1.05286, 0.368636, 13.4704, 1.59512, 749.849, 0.0122699, 6.711, 0.28, 7.06574, 0
0, 201, 12.9261, 0.00033117, 0.349452, 0.0437378, 18.9539, 4.00672, -5.09841, 0.619537, 751.685, 0.0126751, 6.401, 0.215719, 121.324, 25.9709
1, 201, 11.3007, 3.54113e-05, 2.14308, 0.250102, 2.4695, 0.421671, -0.22054, 0.556163, 756.096, 0.0162946, 7.295, 0.686445, 18.015, 3.51226
2, 201, 9.29373, 4.84203e-05, 0.930912, 0.044407, 7.30796, 0.50798, -9.78391, 0.121814, 765.084, 0.00407051, 5.5105, 0.34174, 40.2705, 3.75137
3, 201, 16.2124, 6.15658e-05, 0.796747, 0.0136722, 25.8186, 0.672024, -2.51574, 0.0369617, 739.121, 0.00204747, 8.322, 1.54932, 214.862, 40.3903
4, 201, 11.3007, 1.18247e-05, 2.14496, 0.0819506, 2.4979, 0.143659, -4.59599, 1.10881, 756.104, 0.00878912, 7.295, 0.686445, 18.2222, 2.00957
0, 202, 12.8575, 5.43245e-05, 0.890919, 0.0549726, 6.33586, 0.592187, -5.30554, 0.588932, 753.004, 0.00811496, 8.511, 0.726475, 53.9245, 6.8256
0, 203, 11.455, 3.54636e-05, 1.27122, 0.0739314, 4.38227, 0.372449, -0.812038, 0.397831, 758.086, 0.00715801, 8.882, 0.738336, 38.9233, 4.62736
1, 203, 12.9859, 0.000148414, 0.914097, 0.0417368, 23.3944, 1.60924, -4.26219, 0.107384, 753.401, 0.0058866, 7.8715, 1.37808, 184.149, 34.6386
2, 203, 10.1645, 1.95517e-05, 2.07425, 0.13516, 1.75153, 0.170057, -0.0301664, 3.02811, 761.758, 0.0160167, 13.2885, 0.817655, 23.2752, 2.6754
3, 203, 12.2126, 2.00731e-05, 2.3281, 0.0616381, 5.45777, 0.214586, -4.995, 0.46609, 756.483, 0.00741146, 5.918, 0.550045, 32.2991, 3.25958
4, 203, 13.9061, 1.77194e-05, 1.96696, 0.0810027, 2.99815, 0.180498, 2.69898, 0.847333, 749.554, 0.00881876, 6.841, 0.567837, 20.5103, 2.10311
5, 203, 14.9341, 1.68522e-05, 1.78843, 0.0557641, 3.87727, 0.179932, -3.18973, 0.654089, 745.4, 0.00697605, 8.3975, 1.29802, 32.5594, 5.25469
0, 204, 14.3694, 0.000236725, 0.880679, 0.0180159, 82.5932, 3.0185, -4.61403, 0.0878255, 747.789, 0.00668023, 7.3, 1.47074, 602.93, 123.456
1, 204, 15.1207, 0.000155061, 0.421004, 0.0161564, 29.0719, 1.70786, -3.89093, 0.0463619, 744.42, 0.00267686, 6.7855, 0.959985, 197.267, 30.219
2, 204, 12.9058, 9.27403e-05, 0.828356, 0.038985, 14.1867, 0.980697, -3.26972, 0.0780863, 754.645, 0.00406158, 5.962, 0.782073, 84.5811, 12.5414
3, 204, 12.412, 4.83576e-05, 0.999563, 0.0531859, 6.54147, 0.52207, -4.09311, 0.440339, 756.917, 0.00714098, 6.189, 0.206082, 40.4852, 3.50104
4, 204, 14.0738, 5.67143e-05, 0.639258, 0.0439196, 5.94338, 0.594311, -6.27076, 0.139586, 748.827, 0.00392697, 6.507, 0.029652, 38.6736, 3.8712
5, 204, 12.0985, 2.37322e-05, 1.22034, 0.0511861, 4.08797, 0.250421, -3.27972, 0.265311, 757.581, 0.00475426, 7.4265, 0.627141, 30.3593, 3.16724
6, 204, 13.6277, 6.49603e-05, 1.2688, 0.0316709, 18.7337, 0.695459, -6.38613, 0.0729052, 751.06, 0.00389709, 5.582, 0.58711, 104.572, 11.6637
7, 204, 10.6957, 1.22553e-05, 2.04274, 0.0848553, 2.36529, 0.147209, -0.675708, 1.11287, 759.642, 0.00877013, 12.632, 0.0474433, 29.8783, 1.86293
0, 205, 11.2711, 9.62554e-05, 0.891046, 0.0392736, 15.7184, 1.04102, -1.76756, 0.141418, 757.58, 0.00537068, 11.098, 1.99707, 174.443, 33.4492
0, 207, 11.2229, 0.000433134, 0.315173, 0.023084, 42.4116, 5.14745, -2.70978, 0.123672, 760.733, 0.00616252, 11.974, 1.42775, 507.836, 86.4037
0, 208, 11.3151, 2.93227e-05, 0.995048, 0.0438818, 4.78953, 0.311821, 4.7048, 0.310729, 757.474, 0.00488344, 7.0895, 1.96815, 33.9554, 9.68228
1, 208, 11.7845, 8.96039e-06, 2.18179, 0.0571388, 2.3702, 0.0914864, -0.202143, 0.809664, 756.977, 0.00635502, 10.531, 1.66941, 24.9606, 4.07244
0, 209, 14.0085, 5.40156e-05, 0.886816, 0.0270582, 12.7455, 0.568981, -5.26144, 0.0513699, 747.554, 0.00265942, 9.229, 1.10602, 117.628, 15.0431
1, 209, 11.2285, 0.000119221, 0.869212, 0.0345998, 21.5579, 1.28624, -2.68312, 0.0854493, 757.469, 0.00462229, 11.2775, 1.79691, 243.119, 41.3645
0, 210, 15.2202, 0.000188398, 0.497717, 0.0122013, 55.1278, 2.22931, -3.88601, 0.0483513, 741.316, 0.00321358, 7.3325, 2.19796, 404.225, 122.266
1, 210, 12.2676, 9.45963e-05, 1.86677, 0.236411, 5.45231, 1.12645, -5.93862, 2.86457, 757.016, 0.0691736, 9.604, 0.161604, 52.364, 10.8542
2, 210, 12.2675, 6.33855e-05, 2.0206, 0.148046, 6.22765, 0.676856, 4.68574, 0.948934, 757.197, 0.0175662, 9.604, 1.07933, 59.8104, 9.35085
3, 210, 14.5619, 3.71873e-05, 1.39117, 0.219445, 1.3186, 0.292597, -6.06317, 3.31839, 744.852, 0.0172413, 9.016, 0.293, 11.8885, 0
4, 210, 14.126, 7.75284e-06, 2.22594, 0.0691331, 1.78268, 0.0822489, -0.941124, 1.38699, 747.535, 0.00737705, 6.397, 0.00741301, 11.4038, 0.526312
0, 211, 15.8011, 6.22008e-05, 0.244181, 0.0185118, 5.90686, 0.651638, -2.71324, 0.0586556, 740.121, 0.00165145, 7.949, 1.4826, 46.9536, 10.1747
